Address,label,Balance
34xp4vRoCGJym3xR7yCVPFHoCNxv4Twseo,Binance-coldwallet,248598
bc1ql49ydapnjafl5t2cp9zqpjwe6pdgmxy98859v2,Robinhood-coldwallet,140575
3M219KR5vEneNb47ewrPfWyb5jQ2DjxRP6,Binance-coldwallet,134281
bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjwvw97,null,9000
bc1qazcm763858nkj2dj986etajv6wquslv8uxwczt,Bitfinex-Hack-Recovery,94643
1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,MtGox-Hack,79957
bc1q8yj0herd4r4yxszw3nkfvt53433thk0f5qst4g,null,78317
bc1qa5wkgaew2dkv56kfvj49j0av5nml45x9ek9hz6ß,SilkRoad-FBI-Confiscated,69370
3LYJfcfHPXYJreMsASk2jkn69LWEYKzexb,null,68200
bc1qd4ysezhmypwty5dnw7c8nqy5h5nxg0xqsvaefd0qn5kq32vwnwqqgv4rzr,null,65000
1LdRcdxfbSnmCYYNdeYpUnztiYzVfBEQeC,null,53880
1AC4fMwgY8j9onSbXEWeH6Zan8QGMSdmtA,null,51830
bc1qa2eu6p5rl9255e3xz7fcgm6snn4wl5kdfh7zpt05qp5fad9dmsys0qjg0e,null,44194
1LruNZjwamWJXThX2Y8C2d47QqhAkkc5os,null,44000
bc1qcardnx2pjnh0ce0rsdkce2yxxr9v6pt9a6qya3,null,40984
3LQUu4v9z6KNch71j7kbj8GPeAGUo1FW6a,Binance-coldwallet,37927
bc1q7ydrtdn8z62xhslqyqtyt38mm4e2c4h3mxjkug,UK-Gov-Confiscated,36000
bc1qk4m9zv5tnxf2pddd565wugsjrkqkfn90aa0wypj2530f4f7tjwrqntpens,BITMEX-coldwallet,35277
bc1q8taf2eca7pn9wu4czt8fgftqm288xtfxdyt33syzxuexxty733xsszghzk,null,35000
bc1qzwhw94uldd3c8736lsxrda6t6x56030f8zk8nr,null,33056
12XqeqZRVkBDgmPLVY4ZC6Y4ruUUEug8Fx,null,32321
bc1qx9t2l3pyny2spqpqlye8svce70nppwtaxwdrp4,Binance-Pool,31643
3FHNBLobJnbCTFTVakh5TXmEneyf5PT61B,Binance-coldwallet,31275
12ib7dApVFvg82TXKycWBNpN8kFyiAN1dr,null,31000
12tkqA9xSoowkzoERHMWNKsTey55YEBqkv,null,28151
bc1q7uq3u829ahn22sdlpac0h0lurq3a9yfd3ew69f,null,27795
bc1qx85mcrg3cm38vksg4re035nujrldgpppqnurrg,null,27500
3EMVdMehEq5SFipQ5UfbsfMsH223sSz9A9,null,26984
39eYrpgAgDhp4tTjrSb1ppZ5kdAc1ikBYw,null,26139
32BgTv3NSYbMsBTwDbNNN2GKZPCTJSkqDv,null,25177
17MWdxfjPYP2PYhdy885QtihfbW181r1rn,null,24495
38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,OKEx,24067
1N7jWmv63mkMdsYzbNUVHbEYDQfcq1u8Yp,null,24052
19D5J8c59P2bAkWKvxSYw8scD3KUNWoZ1C,null,23969
bc1qcpflj68s3ahy4xajez4d8v3vk28pvf7qte2jmlftvxzfke2u6mqsge3gvh,null,23531
15cHRgVrGKz7qp2JL2N5mkB2MCFGLcnHxv,null,23375
bc1qysj2w7xsw09datsy9mt9x50jn7qjd6qde6d66qm3ce0a4y9uzdpqcavdr0,null,20897
3HfD4pvF43jdu9dzVMEr1b8AnDHooRGc5t 3-of-9,null,20271
17rm2dvb439dZqyMe2d4D6AQJSgg6yeNRn,null,20008
1PeizMg76Cf96nUQrYg8xuoZWLQozU5zGW,null,19414
bc1qx2x5cqhymfcnjtg902ky6u5t5htmt7fvqztdsm028hkrvxcl4t2sjtpd9l,null,02
bc1qnavh9vkacx03mr4v03kyz4t0vz5fuflwrgavgj,null,16500
34HpHYiyQwg69gFmCq2BGHjF1DZnZnBeBP,Binance-coldwallet,16307
1GR9qNz7zgtaW5HwwVpEJWMnGWhsbsieCG,null,15746
bc1qlt5nm3kflne7rht4alsnzdzad878ld5rcu4na0,null,14645
1CNtkWbb4grh8xtb8mhoZ6armNE9PHgzA8,null,14579
bc1q32lyrhp9zpww22phqjwwmelta0c8a5q990ghs6,null,840
3KXwpcwggRsACLkFdfCVMU5ZA4tcLxdN6T,null,7727
bc1q8qpfmpf6hcu3tgfvp8dgtf534rws8uhsl9vtk6p2f3r2gnqdz5sqxmty6q,null,
bc1qnad7erjflzm38d8p820hday79v90d09sc4gdly,null,
bc1q72nyp6mzxjxm02j7t85pg0pq24684zdj2wuweu,null,13764
bc1q4vxn43l44h30nkluqfxd9eckf45vr2awz38lwa,UK-Gov-Confiscated,13003
bc1qkmk4v2xn29yge68fq6zh7gvfdqrvpq3v3p3y0s,Bitfinex-Hack-Recovery,12267
1F34duy2eeMz5mSrvFepVzy7Y1rBsnAyWC,null,10771
39gUvGynQ7Re3i15G3J2gp9DEB9LnLFPMN,null,10717
bc1q7t9fxfaakmtk8pj7tdxjvwsng6y9x76czuaf5h,Binance-coldwallet,10650
1DcoAJJmCexsYCF8h9qBzduNDo2cXAWXFe,null,10608
bc1qxlth5har0qasqvattsjvgp80st2x402u5shuud,null,10500
bc1qpzt4m58zzqgp84ktyuj5tz8g8k8ssg2g2d5eeerwhx4gxulqq5mqjzm5gc,null,10500
1Q8QR5k32hexiMQnRgkJ6fmmjn5fMWhdv9,Binance-Pool,10217
1f1miYFQWTzdLiCBxtHHnNiW7WAWPUccr,null,10009
bc1qsxdxm0exqdsmnl9ejrz250xqxrxpxkgf5nhhtq,null,10002
1BAFWQhH9pNkz3mZDQ1tWrtKkSHVCkc3fV,null,10000
14YK4mzJGo5NKkNnmVJeuEAQftLt795Gec,null,10000
1Ki3WTEEqTLPNsN5cGTsMkL2sJ4m5mdCXT,null,10000
1KbrSKrT3GeEruTuuYYUSQ35JwKbrAWJYm,null,10000
1P1iThxBH542Gmk1kZNXyji4E4iwpvSbrt,null,10000
12tLs9c9RsALt4ockxa1hB4iTCTSmxj2me,null,10000
