Rank,Address,Balance,% of coins,First In,Last In,Ins,First Out,Last Out,Outs
1,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,"79,957 BTC ((8,268,860,905)",0.40231%,2011-03-01 19:26:19,2025-05-27 23:50:02,636,,,
2,1LdRcdxfbSnmCYYNdeYpUnztiYzVfBEQeC,"53,880 BTC ((5,572,060,970)",0.2711%,2014-05-28 07:49:42,2025-05-20 20:16:58,208,,,
3,12ib7dApVFvg82TXKycWBNpN8kFyiAN1dr,"31,000 BTC ((3,205,903,817)",0.15598%,2010-05-13 17:22:38,2025-05-17 13:40:00,193,2010-06-02 19:57:07,2010-07-25 08:35:23,4
4,12tkqA9xSoowkzoERHMWNKsTey55YEBqkv,"28,151 BTC ((2,911,270,003)",0.14165%,2010-04-06 07:47:07,2025-06-01 00:47:41,170,,,
5,1PeizMg76Cf96nUQrYg8xuoZWLQozU5zGW,"19,414 BTC ((2,007,762,891)",0.097686%,2010-07-24 21:16:11,2025-04-13 10:17:17,126,,,
6,1F34duy2eeMz5mSrvFepVzy7Y1rBsnAyWC,"10,771 BTC ((1,113,845,785)",0.054193%,2011-08-09 07:14:47,2025-04-12 06:35:27,110,,,
7,1f1miYFQWTzdLiCBxtHHnNiW7WAWPUccr,"10,009 BTC ((1,035,117,999)",0.050363%,2011-05-04 11:10:49,2025-05-10 20:34:58,90,,,
8,1BAFWQhH9pNkz3mZDQ1tWrtKkSHVCkc3fV,"10,000 BTC ((1,034,168,133)",0.050317%,2011-05-04 11:01:23,2025-04-12 06:35:27,57,,,
9,14YK4mzJGo5NKkNnmVJeuEAQftLt795Gec,"10,000 BTC ((1,034,163,715)",0.050316%,2011-05-04 10:40:51,2025-04-12 06:35:27,69,,,
10,1KbrSKrT3GeEruTuuYYUSQ35JwKbrAWJYm,"10,000 BTC ((1,034,161,762)",0.050316%,2011-04-03 07:18:45,2025-04-12 06:35:27,77,,,
11,1P1iThxBH542Gmk1kZNXyji4E4iwpvSbrt,"10,000 BTC ((1,034,161,344)",0.050316%,2011-05-04 10:14:27,2025-04-12 06:35:27,62,,,
12,12tLs9c9RsALt4ockxa1hB4iTCTSmxj2me,"10,000 BTC ((1,034,161,194)",0.050316%,2011-04-03 06:08:32,2025-04-12 06:35:27,61,,,
13,1ucXXZQSEf4zny2HRwAQKtVpkLPTUKRtt,"10,000 BTC ((1,034,161,121)",0.050316%,2011-05-04 11:01:23,2025-04-12 06:35:27,53,,,
14,1CPaziTqeEixPoSFtJxu74uDGbpEAotZom,"10,000 BTC ((1,034,161,087)",0.050316%,2011-05-04 10:28:05,2025-04-12 06:35:27,51,,,
15,1HLvaTs3zR3oev9ya7Pzp3GB9Gqfg6XYJT,"9,260 BTC ((957,633,889)",0.046593%,2010-03-18 22:37:36,2025-01-28 16:27:07,92,,,
16,167ZWTT8n6s4ya8cGjqNNQjDwDGY31vmHg,"8,999 BTC ((930,641,244)",0.04528%,2010-08-10 06:35:11,2025-01-28 16:27:07,56,,,
17,18zuLTKQnLjp987LdxuYvjekYnNAvXif2b,"8,021 BTC ((829,468,926)",0.040357%,2013-04-25 09:16:44,2025-06-04 05:47:53,36,,,
18,198aMn6ZYAczwrE5NvNTUMyJ5qkfy4g3Hi,"8,000 BTC ((827,328,691)",0.040253%,2009-02-22 19:50:53,2025-04-07 01:30:52,83,,,
19,15Z5YJaaNSxeynvr6uW6jQZLwq3n1Hu6RX,"7,941 BTC ((821,233,408)",0.039956%,2010-04-11 01:02:35,2025-04-24 17:04:30,119,2010-04-11 03:15:16,2010-10-15 15:22:58,60
20,1DzjE3ANaKLasY2n6e5ToJ4CQCXrvDvwsf,"7,000 BTC ((723,912,561)",0.035221%,2011-05-28 01:03:02,2025-01-27 23:15:16,50,,,
21,1FJuzzQFVMbiMGw6JtcXefdD64amy7mSCF,"6,999 BTC ((723,808,847)",0.035216%,2010-11-09 01:32:00,2025-02-21 03:02:52,41,,,
22,1AYLzYN7SGu5FQLBTADBzqKm4b6Udt6Bw6,"6,512 BTC ((673,441,035)",0.032766%,2011-04-24 09:40:50,2024-12-27 21:08:15,30,,,
23,1JxmKkNK1b3p7r8DDPtnNmGeLZDcgPadJb,"6,316 BTC ((653,165,707)",0.031779%,2013-04-25 09:47:34,2025-01-27 14:13:01,33,,,
24,1LBBmkr9muf7RjjBbzQQvzNQpRRaVEnavs,"6,200 BTC ((641,179,390)",0.031196%,2013-12-07 12:23:51,2024-12-27 22:14:58,31,,,
25,1BeouDc6jtHpitvPz3gR3LQnBGb7dKRrtC,"5,075 BTC ((524,836,373)",0.025535%,2014-02-21 11:04:52,2025-01-28 12:11:55,122,2014-11-09 02:23:04,2014-11-09 02:23:04,6
26,1ARWCREnmdKyHgNg2c9qih8UzRr4MMQEQS,"5,000 BTC ((517,082,056)",0.025158%,2011-05-17 23:09:56,2025-04-08 13:34:00,36,,,
27,1DaCQDfStUgkPQXcf53Teeo6LPiKcVMBM9,"5,000 BTC ((517,080,235)",0.025158%,2014-04-17 02:27:15,2025-01-27 14:29:42,35,,,
28,19z6WynrjHeD5MMv6919BuQRwybuen1sRv,"5,000 BTC ((517,080,171)",0.025158%,2014-04-17 03:07:07,2024-12-28 21:21:32,32,,,
29,1NQEV6T4avmPqUVTvgsKkeB6yc8qnSWfhR,"5,000 BTC ((517,080,171)",0.025158%,2014-04-17 02:53:08,2024-12-28 21:21:32,32,,,
30,1NJQZhzYac89fDhQCmb1khdjekKNVYLFMY,"5,000 BTC ((517,080,171)",0.025158%,2014-04-17 02:45:14,2024-12-28 21:21:32,31,,,
31,1BvNwfxEQwZNRmYQ3eno6e976XyxhCsRXj,"4,881 BTC ((504,788,165)",0.02456%,2013-04-25 10:03:29,2024-12-28 23:16:57,33,,,
32,1Miy5sJZSamDZN6xcJJidp9zYxhSrpDeJm,"4,792 BTC ((495,569,653)",0.024111%,2013-12-21 13:44:50,2024-12-29 12:33:55,33,,,
33,18Hp8j2JMvwtPs1eqNaYEEVvuFpjQJRFVY,"4,333 BTC ((448,101,741)",0.021802%,2011-08-08 20:20:12,2024-12-30 13:46:47,37,,,
34,16eb495TbiCRbRbZv4WBdaUvNGxUYJ4jed,"4,322 BTC ((446,998,290)",0.021748%,2011-08-08 20:20:12,2024-12-30 13:46:47,37,,,
35,1GX7i8jG8DD1mG85BNnz7xybVhSmw84Uii,"4,109 BTC ((424,915,853)",0.020674%,2013-04-25 08:58:46,2024-12-30 14:23:03,35,,,
36,1N5NqDWiLVqtU8mEzCNEeEbQVHwuGGChJs,"4,049 BTC ((418,731,742)",0.020373%,2013-12-11 19:15:43,2025-01-28 16:27:07,41,,,
37,1VeMPNgEtQGurwjW2WsYXQaw4boAX5k6S,"4,000 BTC ((413,674,481)",0.020127%,2014-11-30 23:06:15,2024-12-30 20:16:00,56,,,
38,18eY9oWL2mkXCL1VVwPme2NMmAVhX6EfyM,"4,000 BTC ((413,664,718)",0.020126%,2011-06-28 06:46:13,2025-03-24 02:18:37,60,,,
39,1ALXLVNj7yKRU2Yki3K3yQGB5TBPof7jyo,"4,000 BTC ((413,664,220)",0.020126%,2010-07-25 08:35:23,2024-12-30 20:16:00,35,,,
40,1LwBdypLh3WPawK1WUqGZXgs4V8neHHqb7,"4,000 BTC ((413,664,194)",0.020126%,2011-05-17 22:52:51,2024-12-30 20:16:00,37,,,
41,15MZvKjqeNz4AVz2QrHumQcRJq2JVHjFUz,"3,963 BTC ((409,798,521)",0.019938%,2011-01-13 22:30:16,2024-12-30 20:16:00,41,,,
42,1GMFSWQQQhCQyRNQcac9tDKcvqYCuripVs,"3,674 BTC ((379,972,027)",0.018487%,2013-04-25 11:09:35,2024-12-30 21:51:56,31,,,
43,14mPMrRm6TdjqHZhd7aBUbuWt5MYWReukR,"3,600 BTC ((372,297,906)",0.018114%,2013-03-13 17:10:00,2025-01-28 16:26:42,34,,,
44,1FvUkW8thcqG6HP7gAvAjcR52fR7CYodBx,"3,350 BTC ((346,443,775)",0.016856%,2010-08-07 13:53:03,2024-12-30 22:36:21,40,2010-08-19 05:58:26,2011-04-24 14:44:11,2
45,1Gn1GzVa88T1X3fdhejyq6jrZs43T24xW6,"3,249 BTC ((335,978,075)",0.016347%,2011-08-08 20:20:12,2024-12-31 20:10:01,30,,,
46,1PTYXwamXXgQoAhDbmUf98rY2Pg1pYXhin,"3,233 BTC ((334,361,701)",0.016268%,2010-02-17 16:13:38,2024-12-31 20:10:01,33,,,
47,16oKJMcUZkDbq2tXDr9Fm2HwgBAkJPquyU,"3,215 BTC ((332,433,316)",0.016174%,2011-07-29 01:57:42,2024-12-31 23:58:43,30,,,
48,193zge613zys7eSkQYQVd9xubovLN8Sr6j,"3,145 BTC ((325,207,681)",0.015823%,2014-09-06 08:34:31,2025-01-01 01:49:13,29,,,
49,1EgH7EUfgjr8gAK9t1BeHLDC1ijrVvdec3,"3,082 BTC ((318,685,240)",0.015505%,2014-04-16 16:10:01,2025-01-01 13:11:05,287,2014-05-07 16:42:48,2014-07-22 18:20:42,13
50,19HhmfxGsznL8K7wXjZiFnhqddQucgfZzB,"3,000 BTC ((310,248,380)",0.015095%,2010-12-07 22:23:16,2025-01-27 23:28:19,40,,,
51,15DtovKcGFiAJmyVfbjvCXHyjtyoZhyyj4,"3,000 BTC ((310,248,175)",0.015095%,2013-04-18 03:36:45,2025-01-01 15:55:44,31,,,
52,1ArZGb5V24gAgN51FeQknobi6kNyGx739r,"3,000 BTC ((310,248,175)",0.015095%,2013-04-18 05:17:43,2025-01-01 15:56:03,30,,,
53,1JjMoB212ctAiuDvURyWhs813yY4c75cap,"3,000 BTC ((310,248,165)",0.015095%,2013-04-18 05:17:43,2025-01-01 15:58:47,31,,,
54,1FDVbVJYKkWPFcJEzCxi99vpKTYxEY3zdj,"3,000 BTC ((310,248,164)",0.015095%,2013-04-18 03:36:45,2025-01-01 15:58:47,31,,,
55,1LQaq7LLoyjdfH3vczuusa17WsRokhsRvG,"2,966 BTC ((306,732,018)",0.014924%,2011-08-08 20:20:12,2025-01-02 00:30:26,26,,,
56,19DdkMxutkLGY67REFPLu51imfxG9CUJLD,"2,616 BTC ((270,530,261)",0.013162%,2010-09-30 02:57:51,2025-01-23 02:20:07,32,,,
57,1BrSzBwx2RLuppgGziqgF7oMuneHQVhsNc,"2,600 BTC ((268,881,783)",0.013082%,2013-04-25 08:58:46,2025-01-02 23:00:25,31,,,
58,17j45BXWrjSDttuurcSQubYLdLescJ7eJH,"2,585 BTC ((267,300,660)",0.013005%,2013-09-18 06:45:14,2025-01-02 23:00:25,111,,,
59,1P6brDbYKsQGqRduaTMa1v8hBqJYjig4Qc,"2,510 BTC ((259,571,399)",0.012629%,2013-04-25 08:58:46,2025-01-03 12:24:58,29,,,
60,1NT1jtYLNwFXLztD4U4B9sLizdYatirhWW,"2,500 BTC ((258,540,282)",0.012579%,2012-03-21 17:57:20,2025-01-03 12:24:58,30,,,
61,12owkvCcMPw5u1M692GbBFmpaMdX3kqXQM,"2,500 BTC ((258,540,152)",0.012579%,2011-12-01 15:51:46,2025-01-03 12:24:58,28,,,
62,1Kj6epyY2MdzZUCHE572jeV9n7DDRReaZJ,"2,407 BTC ((248,932,148)",0.012112%,2014-01-16 14:51:15,2025-01-28 16:27:07,31,2014-01-16 14:55:10,2014-01-16 14:55:10,1
63,152p1VPp2UYceP9BLtJRLoMgoErQRCryTt,"2,350 BTC ((243,027,777)",0.011824%,2014-10-28 07:24:56,2025-01-03 20:33:15,71,,,
64,1Dp1yVTFmgb6oL5WoNVsLsZso4ATMzxD1M,"2,288 BTC ((236,593,657)",0.011511%,2012-07-04 06:35:50,2025-01-28 03:29:28,40,2012-07-09 00:55:06,2012-08-19 20:21:38,2
65,1HjdiADVHew97yM8z4Vqs4iPwMyQHkkuhj,"2,200 BTC ((227,515,350)",0.01107%,2010-02-07 03:45:17,2025-01-04 00:08:52,31,,,
66,1JaPNwMXt2AuVkWmkUHbsw78MbGorTfmm2,"2,195 BTC ((226,947,571)",0.011042%,2010-07-04 08:57:13,2025-04-08 03:20:36,53,2010-07-04 08:59:55,2012-07-24 07:02:48,15
67,1CounterpartyXXXXXXXXXXXXXXXUWLpVr,"2,131 BTC ((220,378,581)",0.010722%,2014-01-03 07:19:37,2025-05-02 19:39:24,3095,,,
68,1VLZtmKa95BFrXHeyHEETAivJ22pTEhrT,"2,100 BTC ((217,174,817)",0.010566%,2011-08-08 20:20:12,2025-02-01 12:54:52,41,,,
