tx_hash,block_timestamp,input_count,output_count,total_input_value,total_output_value,fee,max_output_value,max_input_value,has_zero_output,max_output_ratio,fee_per_max_ratio,whale_type
381c49e1bfc9b6616a78084fb6bca0340873c8e928302f3b005f3aa44b8a872a,2024-10-01 03:55:29 UTC,1,73,70067206934,70067196597,10337,15899999409,70067206934,False,0.226925012,6.5e-07,2
7ae09a17bec31abccb440182f1b25a296c2613100276bf03dbc5b8b98bd4054f,2024-10-01 04:08:10 UTC,50,1,181335031,181322597,12434,181322597,90688390,False,1.0,6.8574e-05,1
395eaab54c2cd8c04b5bc7274712ce343657cf66e686e8e688d1704fefd4c875,2024-10-01 05:30:48 UTC,162,1,100091791,100000000,91791,100000000,40005056,False,1.0,0.00091791,1
47dcf13c53ff1f55f5aedcbe03f56fa755edd2776ad63694c1b69eb962961ac1,2024-10-01 06:39:51 UTC,8,1,355514394,355507455,6939,355507455,249387901,False,1.0,1.9519e-05,1
e26579d3ff494303765eeacbd3ea8aa10d499b3d983bb9cb09e39d9e1cc90545,2024-10-01 09:24:32 UTC,9,1,716298463,716296501,1962,716296501,479192920,False,1.0,2.739e-06,1
b5ab0375c9f34ce2eea4b1c14983730c9772ba6efb570f3591f00789a1945b54,2024-10-01 10:18:15 UTC,15,1,407548794,407543006,5788,407543006,100000000,False,1.0,1.4202e-05,1
84862fa8d44ec7a60e2e5e34abaaea1f9e8d8d9cb6ec25b17ba468f61608113e,2024-10-01 11:09:47 UTC,14,1,104795101,104788753,6348,104788753,7815788,False,1.0,6.0579e-05,1
860c5fec75412a02fa318b6dd7878a69516b10113a5cc65e43856c723e728f6d,2024-10-01 11:37:39 UTC,1,72,222741434,222733078,8356,51519715,222741434,False,0.231306977,0.00016219,2
2ea4910509a3faa8b0963d87e42fccf93c18ba4f0e472b7313ccbeb0ad149fb2,2024-10-01 11:44:18 UTC,1,79,222741428,222732107,9321,51325309,222741428,False,0.230435161,0.000181606,2
648c88877ca50eb7dd068a1e50e0efe224cbbd6c85a397c48a7921135b2036eb,2024-10-01 12:52:33 UTC,60,1,700985565,700940975,44590,700940975,480000000,False,1.0,6.3614e-05,1
b8ec7aa572c1b5ad5863ee817aa3782c97024b39a8fcb5e5b4edc4aaf43b2aa9,2024-10-01 13:20:37 UTC,10,1,1000004522,1000000000,4522,1000000000,382981834,False,1.0,4.522e-06,1
687030bebe5a9e94ee6d357e3eea4f4a625bfe90b9ecc7430b26e5360d911d60,2024-10-01 13:46:56 UTC,17,1,3621802792,3621777747,25045,3621777747,1000000000,False,1.0,6.915e-06,1
b7820e660d1512cb4b35b0fedae312ee553427cc030d5c52a8f4a4e126219be0,2024-10-01 13:55:05 UTC,20,1,7085223934,7085165732,58202,7085165732,713208337,False,1.0,8.215e-06,1
337df837998b6be4d24e0a6274d6913ff69ec6697f4ecbd9475ccf5b98f9edb9,2024-10-01 15:22:50 UTC,120,1,149711703,149607488,104215,149607488,1255449,False,1.0,0.000696589,1
2430e7cf535ba0160c2eda4b86080a068885dc78315c605beb72756b5cff67b4,2024-10-01 15:22:50 UTC,120,1,157609193,157502369,106824,157502369,1319978,False,1.0,0.000678237,1
bfa09e3bdcc78b6c9a155e3f685f268dba54592ac03cecbe28de60948fab55d4,2024-10-01 15:25:48 UTC,38,1,117583594,117575731,7863,117575731,77861668,False,1.0,6.6876e-05,1
7c0e76a85bd0eeb0cfbc9585df17c00e73f9e557e92de88c497ba6a81e5fa178,2024-10-01 15:59:10 UTC,34,1,362556882,362536454,20428,362536454,79004889,False,1.0,5.6347e-05,1
619fa420b44b4e6f0c66ae814c77a632a70b6b01ca49d4dacc7dfc02e278b0e2,2024-10-01 16:49:19 UTC,60,1,1001206410,1001170738,35672,1001170738,299998983,False,1.0,3.563e-05,1
75e85d3daab923ee0ebcf3eac8ad48d30c8a0fc7e8faf9a5055ca236101333a2,2024-10-01 17:36:55 UTC,120,1,177430195,177323371,106824,177323371,1480088,False,1.0,0.000602425,1
7a981ce308b0e2f2bd975caecc8b3b159c1ac543631c45fb56ec19103e70b9c2,2024-10-01 17:55:21 UTC,8,1,250206951,250200000,6951,250200000,53505820,False,1.0,2.7782e-05,1
f2d050ed26e8d56b8164f8c45b49eedbccdc91fe2ec1dc59bbf6309821dfa0e4,2024-10-01 17:55:21 UTC,80,1,1446495948,1446449856,46092,1446449856,749730604,False,1.0,3.1866e-05,1
c2bcf1f6ddd673b9772a5d4022346a91f827714cbf383c5d8e597e720b7dfa6a,2024-10-01 20:38:47 UTC,34,1,154751597,154741643,9954,154741643,28617956,False,1.0,6.4327e-05,1
c5070b744029a309fe2527fe9e92aaf8633fd93f6b1e4b6b44ba8e9ee464cf51,2024-10-01 20:40:54 UTC,15,1,119191883,119170763,21120,119170763,100000000,False,1.0,0.000177225,1
061ec3f00c32f4a8cef6f5d569e049dde772746791bca803c4537bb1978064e7,2024-10-01 21:04:13 UTC,1,218,532473095,532448443,24652,57185356,532473095,False,0.107400739,0.000431089,2
